"","index","song","year","artist","genre","lyrics","sum_babiness","sum_conc"
"11",284253,"matter-of-time",2006,"berlin","Pop","so quickly time will come and time will go codenewline it runs on by codenewline it steals your hopes and dreams and one last chance codenewline you never know codenewline i can see it now codenewline i can feel its scolding hand codenewline saying come on now you've got to run codenewline you wonder can you stop the hands of time codenewline erase your fate codenewline he's laughing knowing that he's got control codenewline just watch and wait codenewline i can see it now codenewline i can hear the whispered voice codenewline telling me now you've got no time to waste codenewline it's a matter of time codenewline it's just a matter of time codenewline and you've got to see codenewline you have the answer you have the strength codenewline there's no denying it's in your hands codenewline it's in your hands codenewline it's a matter of time codenewline living breathing touching feeling codenewline hoping dreaming still deceiving codenewline searching finding losing crying codenewline know the truth you're dying codenewline oh you're dying codenewline it's a matter of time codenewline remember who you are and what you have codenewline the time is yours codenewline your flame is burning down so guard it well codenewline it may go out codenewline i can see it now codenewline i can see the end of time codenewline holding the answers to all your fears codenewline it's a matter of time codenewline ",295.041434955,448.81
"12",55792,"sing",2006,"abra-moore","Pop","i wanna sing codenewline sing to your eyes where they once held windows codenewline when you're lookin' at me codenewline i wanna hear codenewline hear all the sounds and the cracks in your voice codenewline when you speak to me codenewline look at my eyes and my nose and my fingertips codenewline i'm lookin' so much like you codenewline look at the way that i switch my walk mama codenewline i'm walkin' like you used to do codenewline what about tomorrow codenewline you won't be there to watch me bleed codenewline what about all the yesterdays codenewline and all the times that i was hoping that you'd come back to me codenewline mama sing codenewline sing to me codenewline i know you're out there codenewline what about tomorrow codenewline you won't be there so i can make you proud codenewline what about all the yesterdays codenewline and all the times i was hoping that you could sing out loud codenewline sing with me codenewline what is this pain in here mama did you feel it too codenewline at such a tender age of twentyfour codenewline a wanna sing to you codenewline ",342.549320611,360.65
"13",146534,"this-love-will-be-your-downfall",2010,"ellie-goulding","Pop","who are we to be emotional codenewline who are we to play with hearts codenewline and throw away it all codenewline who are we to turn each others heads codenewline who are we to find ourselves in other people's beds codenewline i don't like the way i never listen to myself codenewline i feel like i'm on fire i'm too shy to cry for help codenewline i don't think you know me much at all codenewline this love is be and end all codenewline this love will be your downfall codenewline this love is be and end all codenewline this love will be your downfall codenewline i'm feeling down about this love codenewline who are you to make me feel so good codenewline who are we to tell ourselves that we're misunderstood codenewline oh who am i to say i'm always yours codenewline who am i to choose the boy that everyone adores codenewline oh i don't see a reason why we can't just be apart codenewline now we're falling on each other like we're always in the dark codenewline oh i don't think you warned me much at all codenewline this love is be and end all codenewline this love will be your downfall codenewline this love is be and end all codenewline this love will be your downfall codenewline this love is be and end all codenewline this love will be your downfall codenewline this love is not what you want codenewline this heart will never be yours codenewline this love is be and end all codenewline this love will be your downfall codenewline this love is be and end all codenewline this love will be your downfall codenewline ",544.800699304,510.9
"14",42120,"a-world-without-you-michelle",2006,"bad-boys-blue","Pop","the bride eyes of the boulevards is shining in your tender eyes codenewline your perfume is exciting me codenewline if's still the same codenewline michelle codenewline how i love when we love codenewline and i love when you whisper codenewline je t'aime codenewline michelle codenewline mom amour codenewline is it true codenewline do you feel the way i do codenewline a world without you codenewline a world on my own codenewline without your love my heart will turn to stone codenewline a world without you codenewline a day without light codenewline without your touch i couldn't stand one night oh codenewline michelle codenewline i know there'll be no better heart codenewline no better heart to hold on to codenewline if you should ever let me down codenewline i can't survive codenewline michelle codenewline how i love when we love codenewline and we love you whisper codenewline je t'aime codenewline michelle codenewline mon amour codenewline is ist true codenewline do you feel the way i do codenewline a world without you codenewline a world on my own codenewline c'est toi codenewline et ce soir je te veux codenewline faire l'amour avec toi codenewline je t'aime codenewline je sais codenewline mon amour codenewline queu tu es le seul pou moi codenewline a world without you codenewline a world on my own codenewline a world without you codenewline a world without you codenewline oh michelle codenewline ",288.211262884,374.01
"15",315151,"harlem-nocturne",2006,"alicia-keys","Pop","drop it codenewline yeah yeah codenewline come in for a minute codenewline welcome back codenewline it's just me and you in this room right now codenewline and there's so many things that are on my mind codenewline uh yea uh be with me codenewline sometimes it's hard to say codenewline that's why i take all i've got codenewline that's why i take all i have codenewline and i put it into this codenewline put it right here in my diary codenewline can you feel it codenewline uh uh uh codenewline take this journey with me codenewline ",129.62241533,169.67
"16",81301,"i-need-love",2002,"bosson","Pop","i need love codenewline i want love codenewline the time was not right codenewline blinded by magic in my baby's eyes codenewline all i ever dreamed of codenewline i saw you in white walking by my side codenewline but i still believe that one day codenewline things work out for you and me codenewline and i still believe we can't be friends codenewline there's so much more for us to be codenewline i need love i need you codenewline i want love i want you codenewline i need love codenewline nothing's been the same since you walked out that door codenewline i need you codenewline you are everything that i've been looking for codenewline i need love i need you codenewline so full of life and so many things codenewline that you wanted to codenewline my world was too small for you codenewline so try your wings the way i used to do codenewline but i still believe that one day codenewline when your world is cold and mean codenewline you will fly back home where you belong codenewline to the luckiest man you've seen codenewline i need love i need you codenewline i want love i want you codenewline i need love codenewline nothing's been the same since you walked out that door codenewline i need you codenewline you are everything that i've been looking for codenewline i need love i need you codenewline so when i miss you like crazy codenewline i just take a walk to our place down by the sea codenewline to make a wish on a falling star codenewline and i wish you were here with me codenewline with me with me with me codenewline i need love i need you codenewline i want love i want you codenewline i need love codenewline nothing's been the same since you walked out that door codenewline i need you codenewline you are everything that i've been looking for codenewline i want love i want you codenewline you are the one i want codenewline you are the one i need codenewline you are the one i want codenewline you are the one i need codenewline ",505.383178891,642.27
"17",127598,"without-you",2011,"aj-rafael","Pop","bucket full of tears codenewline baby know i'm here codenewline i'm here waiting codenewline close your precious eyes codenewline and just realize codenewline i'm still fighting codenewline for you to be with me codenewline sit under this tree codenewline and we can watch the sun rise codenewline we can watch the sunrise codenewline wake up feel the air that i'm breathin' codenewline i can't explain this feeling that i'm feelin' codenewline i won't go another day without you codenewline i know it feels like no one's around codenewline but baby you're wrong codenewline just get rid of that fear codenewline promise that i'm here codenewline i'll never be gone codenewline so baby come with me codenewline we can fly away codenewline and we can watch the stars shine codenewline and baby you can be my love codenewline wake up feel the air that i'm breathin' codenewline i can't explain this feeling that i'm feelin' codenewline i won't go another day without you without you codenewline hold on i promise it gets brighter codenewline and when it rains i'll hold you even tighter codenewline i won't go another day without you without you codenewline and this is me tonight codenewline no more games and no more lies codenewline and i know it's right codenewline 'cause of the way you look into my eyes codenewline and when i hold you tight codenewline the worries disappear i'm glad you're in my life codenewline wake up feel the air that i'm breathin' codenewline i can't explain this feeling that i'm feelin' codenewline i won't go another day without you without you codenewline hold on i promise it gets brighter codenewline and when it rains i'll hold you even tighter codenewline i won't go another day without you without you codenewline and i won't i won't go another day codenewline without you codenewline ",419.609497021,572.75
"18",198732,"heavy-breathing",2006,"bee-gees","Pop","well this is my last connection i been slowing up the line codenewline ain't no satisfaction in this troubled head of mine codenewline gotta get back to the highway gonna get back to where i know codenewline 'cause sooner or later there's gonna be a showdown codenewline gotta go man gotta go codenewline hell i'm so so tired so so tired codenewline and i don't know where i'm gonna start codenewline it's only heavy breathing in the dark codenewline ain't nobody's sweetheart ain't nobody's fool codenewline and if the sun don't set on my house babe codenewline i'd be the last man to blow my cool codenewline i feel my body shake codenewline well there's so much left to say codenewline spend my life anticipatin' codenewline gonna find a way codenewline hey i'm so so tired so so tired codenewline and i don't know where i'm gonna start codenewline it's only heavy breathing in the dark codenewline so so tired codenewline so so tired codenewline and i don't know where i'm gonna start codenewline only heavy breathing in the dark codenewline only heavy breathing in the dark codenewline it's only heavy breathing in the dark codenewline well i don't believe in ev'rything you say just to save my soul codenewline you know there's got to be a way better than a big black hole codenewline gotta take me from my suicide codenewline now you know it's love i crave codenewline you know we got to live like this from the cradle to the grave codenewline so so so so tired codenewline so so so so tired codenewline i'm so so so so tired codenewline repeat last verse and fade codenewline ",403.575289258,510.82
"19",257380,"formation",2016,"beyonce","Pop","what happened at the new wil'ins codenewline bitch i'm back by popular demand codenewline y'all haters corny with that illuminati mess codenewline paparazzi catch my fly and my cocky fresh codenewline i'm so reckless when i rock my givenchy dress stylin' codenewline i'm so possessive so i rock his roc necklaces codenewline my daddy alabama momma louisiana codenewline you mix that negro with that creole make a texas bama codenewline i like my baby heir with baby hair and afros codenewline i like my negro nose with jackson five nostrils codenewline earned all this money but they never take the country out me codenewline i got a hot sauce in my bag swag codenewline oh yeah baby oh yeah i ohhhhh oh yass i like that codenewline i did not come to play with you hoes haha codenewline i came to slay bitch codenewline i like cornbreads and collard greens bitch codenewline oh yes you besta believe it codenewline y'all haters corny with that illuminati mess codenewline paparazzi catch my fly and my cocky fresh codenewline i'm so reckless when i rock my givenchy dress stylin' codenewline i'm so possessive so i rock his roc necklaces codenewline my daddy alabama momma louisiana codenewline you mix that negro with that creole make a texas bama codenewline i like my baby heir with baby hair and afros codenewline i like my negro nose with jackson five nostrils codenewline earned all this money but they never take the country out me codenewline i got a hot sauce in my bag swag codenewline i see it i want it i stunt yellowbone it codenewline i dream it i work hard i grind 'til i own it codenewline i twirl on them haters albino alligators codenewline el camino with the seat low sippin' cuervo with no chaser codenewline sometimes i go off i go off i go hard i go hard codenewline get what's mine take what's mine i'm a star i'm a star codenewline cause i slay slay i slay hey i slay okay i slay okay codenewline all day okay i slay okay i slay okay i slay okay codenewline we gon' slay slay gon' slay okay we slay okay i slay okay codenewline i slay okay okay okay i slay okay okay okay okay okay codenewline okay okay ladies now let's get in cause i slay codenewline okay ladies now let's get in cause i slay codenewline prove to me you got some coordination cause i slay codenewline slay trick or you get eliminated codenewline when he fuck me good i take his ass to red lobster cause i slay codenewline when he fuck me good i take his ass to red lobster cause i slay codenewline if he hit it right i might take him on a flight on my chopper cause i slay codenewline drop him off at the mall let him buy some j's let him shop up cause i slay codenewline i might get your song played on the radio station cause i slay codenewline i might get your song played on the radio station cause i slay codenewline you just might be a black bill gates in the making cause i slay codenewline i just might be a black bill gates in the making codenewline i see it i want it i stunt yellowbone it codenewline i dream it i work hard i grind 'til i own it codenewline i twirl on my haters albino alligators codenewline el camino with the seat low sippin' cuervo with no chaser codenewline sometimes i go off i go off i go hard i go hard codenewline get what's mine take what's mine i'm a star i'm a star codenewline cause i slay slay i slay hey i slay okay i slay okay codenewline all day okay i slay okay i slay okay i slay okay codenewline we gon' slay slay gon' slay okay we slay okay i slay okay codenewline i slay okay okay okay i slay okay okay okay okay okay codenewline okay okay ladies now let's get in cause i slay codenewline okay ladies now let's get in cause i slay codenewline prove to me you got some coordination cause i slay codenewline slay trick or you get eliminated codenewline okay ladies now let's get in i slay codenewline okay ladies now let's get in formation codenewline you know you that bitch when you cause all this conversation codenewline always stay gracious best revenge is your paper codenewline girl i hear some thunder codenewline golly look at that water boy oh lord codenewline ",934.490329674,1517.43
"20",3085,"mary-did-you-know",2014,"celtic-thunder","Pop","mary did you know codenewline that your baby boy would one day walk on water codenewline mary did you know codenewline that your baby boy would save our sons and daughters codenewline did you know codenewline that your baby boy has come to make you new codenewline this child that you delivered will soon deliver you codenewline mary did you know codenewline that your baby boy will give sight to a blind man codenewline mary did you know codenewline that your baby boy will calm the storm with his hand codenewline did you know codenewline that your baby boy has walked where angels trod codenewline when you kiss your little baby then you've kissed the face of god codenewline mary did you know codenewline the blind will see codenewline the deaf will hear codenewline the dead will live again codenewline the lame will leap codenewline the dumb will speak codenewline the praises of the lamb codenewline ",340.913892818,356.11
"21",349379,"au-pair",2006,"cinerama","Pop","he fell in love with the au pair codenewline when she ran her fingers through his hair codenewline and said it's silky codenewline he knew of course that he ought to be feeling guilty codenewline but no he didn't care at all codenewline he hadn't felt this great in years codenewline meanwhile his wife's upstairs in tears codenewline well it's so corny codenewline her world's turned upside down because he felt horny codenewline so tell me how can it be fair codenewline but as they drive away she wonders just how long codenewline it'll take for him to realise how much he's wrong codenewline and when he comes home in disgrace codenewline she'll slam the door right in his face codenewline well it's so sleazy codenewline i wish you could see me in a white dress looking divine codenewline he won't find coming back here quite as easy codenewline i wish you could hear me sing like i did my hymns and rhymes codenewline as he found going away codenewline ",295.597961425,351.21
"22",211351,"silent-night",2012,"cee-lo-green","Pop","silent night holy night codenewline all is calm all is bright codenewline round yon virgin mother and child codenewline holy infant so tender and mild codenewline sleep in heavenly peace codenewline sleep in heavenly peace codenewline silent night holy night codenewline shepherds quake at the sight codenewline glories stream from heaven afar codenewline heavenly hosts sing alleluia codenewline christ the savior is born codenewline christ the savior is born codenewline silent night holy night codenewline son of god love's pure light codenewline radiant beam from thy holy face codenewline with the dawn of redeeming grace codenewline jesus lord at thy birth jesus lord at thy birth codenewline jesus lord at thy birth codenewline ",113.975720113,234.26
"23",315158,"harlem-s-nocturne",2006,"alicia-keys","Pop","drop it codenewline yeah yeah codenewline come in for a minute codenewline welcome back codenewline it's just me and you in this room right now codenewline and there's so many things that are on my mind codenewline uh yea uh be with me codenewline sometimes it's hard to say codenewline that's why i take all i've got codenewline that's why i take all i have codenewline and i put it into this codenewline put it right here in my diary codenewline can you feel it codenewline uh uh uh codenewline take this journey with me codenewline ",129.62241533,169.67
"24",119654,"i-dont-really-hate-you",2007,"girls-aloud","Pop","can't take me away codenewline don't try to handle me you're not the boy for me codenewline can't take me away codenewline don't tell me i'm beautiful i'm not available codenewline don't waste your time you're wishing your life away codenewline you're not my type i'll tell you another way codenewline blown out your fire you're sticking to me like glue codenewline your heart's desire but i'm not the girl for you codenewline you'll be exactly who you wanna be codenewline you'll find your way don't wait around for me codenewline i'm saying not the best things come for free codenewline just live your life believe in destiny codenewline i've got a secret that i think you ought to know codenewline the happy people are the ones who have a soul codenewline i don't really hate you codenewline i just don't wanna date you codenewline there's not much else to it codenewline don't wanna talk about it codenewline hope you have a good lifetime success is a surefire codenewline hope you have a nice day codenewline hope you always see sunshine and the stars in the twilight codenewline hope you find love some day codenewline to tell the truth you're just too good for me codenewline all i do all day is chase my dreams codenewline maybe i need to try a different scene codenewline your hoping that i'll get you on my team codenewline i've got a secret that i think you ought to know codenewline the happy people are the ones who have a soul codenewline codenewline i don't really hate you codenewline i just don't wanna date you codenewline there's not much else to it codenewline don't wanna talk about it codenewline hope you have a good lifetime success is a surefire codenewline hope you have a nice day codenewline hope you always see sunshine and the stars in the twilight codenewline hope you find love some day codenewline hope you have a good lifetime success is a surefire codenewline hope you have a nice day codenewline hope you always see sunshine and the stars in the twilight codenewline hope you find love some day codenewline ",581.570055426,656.86
"25",273999,"a-dream-of-siam",2006,"gary-numan","Pop","you and me are old codenewline you and me are young codenewline you and me have always codenewline let words go unsung codenewline nothing left to see codenewline nothing left to do codenewline nothing left to talk about codenewline how i intrude codenewline this impossible room codenewline i still believe codenewline that great american smile codenewline nothing's ever right codenewline nothing's ever wrong codenewline but nothing's ever quite like codenewline the stories and songs nothing's ever codenewline heroes always bleed codenewline but heroes never cry codenewline heroes always get the best girl codenewline and then die nothing's ever codenewline how i intrude codenewline this impossible dream codenewline i still believe codenewline that great american smile codenewline ",119.590559439,186.71
